break down, 故障する 
carry on, ～ を続ける 
go by, 通り過ぎる 
hold on, 待つ 
turn out, ～ となる 
bring up, ～ を育てる 
blow out, ～ 吹き消す 
hand in, ～ を提出する 
make out, 理解する 
put off, ～ を延期する 
take off, 急いで立ち去る 
turn on[off], 電灯など を付ける/消す 
catch up with, ～ に追いつく 
do away with, ～ を廃止する 
face up to, ～ を直視する 
look down on, ～ を軽蔑する 
look forward to, ～ を楽しみにして待つ 
look up to, ～ を尊敬する 
make away with, ～ を盗む 
make up for, ～ を埋め合わせる 
put up with, ～ を我慢する 
think highly of, ～ を尊重する 
run out of, ～ を使い果たす 
break into, ～ に侵入する 
come across, ～ を横切る 
deal with, 扱う 
depend on, 依存する 
get over, ～ を乗り越える 
hear from, ～ から便りがある 
hear of, 耳に入る 
laugh at, ～ を見て笑う 
look after, ～ の後を見送る 
look at, ～ を見る 
look for, ～ を探す 
rely on, 依存する 
stand for, ～ を表す 
think of, ～ のことを考える 
find fault with, ～ のあらを探す 
get rid of, ～ を免れる 
lose sight of, ～ を見失う 
make use of, ～ を利用する 
pay attention to, 注意を払う 
take advantage of, ～ を利用する 
take care of, ～ を世話する 
take part in, ～ に加わる 
take pride in, ～ を自慢する 
get out,〜を呼び出す/大声で叫ぶ
get back,戻る、取り戻す
get down,降りる、とりかかる
get off,休む、（仕事場などから）離れる
get up,起きる、起き上がる
call out,〜を呼び出す/大声で叫ぶ
call for,要求する、訴える
call on,訪問する
come on,急いで！
come out,姿を現す、（太陽などが）現れる
come down,（雨などが）降る
come up,（物事が）起きる、(つかつかと)やって来る
take over,引き継ぐ、引き取る
take off,離陸する、（服等を）脱ぐ
take on,雇う、（仕事などを）引き受ける
take up,〜を取り上げる、（趣味などを）はじめる
go out,外へ出る、〜出ていく、（恋人として）付き合う
go ahead,（物事が）進行する
go along,沿って行く、（物事が）進行する
go into,（職に）就く
hold on,(ちょっと)待つ、持続する
hold up,（手などを）あげる、誰か（何か）につかまる
hold out,（手を）伸ばす
keep out,〜を締め出す
keep on,遅れずについていく
keep up,同じことを繰り返し話す、〜し続ける
turn out,～だとわかる、（物事が）うまくいく
turn on,（照明などを）つける、能力を発揮する
turn up,（音量などを）上げる、出席する（現れる）
turn down,（音量などを）下げる、却下する
